Time,Iter,Assembly_ID,Mass,Altitude,Distance,Velocity,FlightPathAngle,HeadingAngle,Latitude,Longitude,AngleAttack,AngleSideslip,ECEF_X,ECEF_Y,ECEF_Z,ECEF_vU,ECEF_vV,ECEF_vW,BODY_COM_X,BODY_COM_Y,BODY_COM_Z,Aero_Fx_B,Aero_Fy_B,Aero_Fz_B,Aero_Mx_B,Aero_My_B,Aero_Mz_B,Lift,Drag,Crosswind,Inertia_xx,Inertia_xy,Inertia_xz,Inertia_yy,Inertia_yz,Inertia_zz,Roll,Pitch,Yaw,distRoll,distPitch,distYaw,VelRoll,VelPitch,VelYaw,magnitudeOmega,angularMomentum_x,angularMomentum_y,angularMomentum_z,magnitudeAngularMomentum,Quat_w,Quat_x,Quat_y,Quat_z,Quat_prev_w,Quat_prev_x,Quat_prev_y,Quat_prev_z,Mach,Speedsound,Density,Temperature,Pressure,SpecificHeatRatio,qmax,Tmax,knudsen,N2_mass_pct,O2_mass_pct,O_mass_pct,He_mass_pct,Ar_mass_pct,N_mass_pct,H_mass_pct,Qstag,Qradstag,Pstag,Tstag,Rhostag,Aref,Lref,Temperature_obj_0,Mass_obj_0
2.5,10,1,286.35420111966,79306.63094572008,0,7993.501473132882,-1.993212381809,0.000757206273,0.178456655033,1.038614e-06,6.388541300238,0.719556427996,6457412.515977062,0.117055078598,19979.6966223475,-302.73884523992,0.105570728527,7987.766582807434,4.35e-10,2.771e-09,-1.49e-09,-879.287152366359,-11.102062850703,-98.336435728653,0.000340781949,-0.002052542181,-0.002823523819,-0.130383810322,884.83851040521,-0.014555013052,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,12.523047315436,4.40069689145,0.681030012237,12.50019025253,6.275638285268,-0.002987233213,5.000291667976,2.50638055044,-0.00319558574,5.593287981163,5.919966648338,2.967364759762,-0.003783327341,6.622029375386,0.728767594434,0.075568248252,-0.676067024706,0.078234335586,0.729310217989,0.075624514628,-0.676570408632,0.07829258707,27.469620063833,290.994249449309,1.4465286e-05,210.091382717238,0.873356290008,1.402504929366,337049.3974853967,381.773986816406,0.002770606858,0.763140688499,0.223900070802,2.672195e-06,7.61146e-07,0.01295579497,1.2384e-08,4e-12,,,850.069344468556,32114.797787767387,9.2107074e-05,1.0,1.541288137436,322.915299634139,286.35420111966
2.75,11,1,286.35420111966,79237.47728067674,0,7992.812066175932,-1.992550904614,0.000836288827,0.196295319841,1.272808e-06,7.014055486337,0.870053978331,6457336.831265752,0.14344776073,21976.63826804936,-305.090791324499,0.116585808006,7986.987186709659,4.35e-10,2.771e-09,-1.49e-09,-886.53639882408,-13.556133190619,-108.971651379986,0.000679020646,0.009536832778,-0.006716895062,-0.120709811574,893.31145810074,-0.015703571051,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,13.784061218288,5.028375336798,0.823225386894,13.750281159577,6.90212506809,-0.003935185008,5.000363628188,2.505947131287,-0.00379180718,5.593158483068,5.920051843779,2.966851624308,-0.004489208372,6.621876059448,0.731584031911,0.083083478811,-0.671181793974,0.086005460523,0.732183178213,0.083151521793,-0.671731472578,0.086075896524,27.45841150744,291.087926335804,1.4615762e-05,210.22770174793,0.883009656011,1.402504904508,338807.91820495995,387.536010742188,0.002742100148,0.763104119911,0.223936586135,2.512013e-06,7.60813e-07,0.012956010168,1.0956e-08,4e-12,,,858.764395391601,32109.585664333255,9.3064763e-05,1.0,1.541288137436,324.532698859771,286.35420111966
3.0,12,1,286.35420111966,79168.35672342757,0,7992.115228740854,-1.991892546676,0.000915986342,0.214132646402,1.531442e-06,7.635946654046,1.034543470254,6457260.558567921,0.172594212731,23973.385064726775,-307.442263496366,0.127684454931,7986.199663656323,4.35e-10,2.771e-09,-1.49e-09,-893.718868247493,-16.266189601603,-119.721095236804,-0.000127587533,0.021875733724,-0.002031787439,-0.119718565286,901.848729347097,-0.008539730192,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,15.047842781583,5.652669236945,0.978840393943,15.00040791248,7.529115305472,-0.00523772533,5.000507011613,2.507960949528,-0.005210161285,5.594190347434,5.920221598895,2.969235832594,-0.006168432213,6.623097708711,0.73429097706,0.090586869014,-0.666197726927,0.0937622995,0.734946960756,0.090667795392,-0.666792879067,0.09384606267,27.447165807182,291.181803064331,1.4767701e-05,210.364336063431,0.892764644886,1.402504880566,340538.4016515449,393.136993408203,0.002713905046,0.763068134581,0.223972526285,2.36098e-06,7.60483e-07,0.012956208019,9.648e-09,4e-12,,,867.540815511653,32104.31226413342,9.4031763e-05,1.0,1.541288137436,326.106423904498,286.35420111966
3.25,13,1,286.35420111966,79099.2692242983,0,7991.410904800828,-1.991237394843,0.000996350954,0.231968617939,1.814702e-06,8.254527670629,1.213132475315,6457183.698002047,0.204515326464,25969.934980640857,-309.793262461308,0.138873878367,7985.403957510051,4.35e-10,2.771e-09,-1.49e-09,-900.833344401711,-19.25841067812,-130.590264644411,0.000290879815,0.041954727805,-0.008204146029,-0.12142915756,910.453405254817,-0.010128398496,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,16.314690957802,6.273927461501,1.147839114487,16.250527929958,8.157260374644,-0.006647524822,5.000480069914,2.512580276686,-0.005639197968,5.596239127928,5.920189701966,2.974704766115,-0.006676379149,6.62552330966,0.736891755195,0.098078113225,-0.661111468613,0.101502960053,0.737604892407,0.098173029679,-0.661751268402,0.10160119095,27.435869487645,291.276021283002,1.4921121e-05,210.501490697088,0.902623306151,1.402504856283,342240.2404461575,398.596008300781,0.00268601749,0.763032734033,0.224007895442,2.218575e-06,7.60156e-07,0.012956383333,8.456e-09,4e-12,,,876.39942648987,32098.977269193863,9.5008174e-05,1.0,1.541288137436,327.64161764582,286.35420111966
3.5,14,1,286.35420111966,79030.21473101142,0,7990.69903564123,-1.990585498792,0.001077327924,0.249803217549,2.122791e-06,8.870155961942,1.405477409289,6457106.249686431,0.239233796056,27966.28597001837,-312.143783550597,0.150146387725,7984.600009646347,4.35e-10,2.771e-09,-1.49e-09,-907.908825417167,-22.505783781488,-141.515673201242,-0.000741443013,-0.005145383138,0.005530724196,-0.202715261093,919.147208030102,-0.014580533618,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,17.584897502676,6.89240524733,1.330676516358,17.500663303129,8.787620256521,-0.008490425621,5.000541492681,2.52143952751,-0.007371603199,5.600279176206,5.920262421874,2.985193448158,-0.008727415732,6.630306420865,0.739389514105,0.105553768233,-0.655919771444,0.109228210056,0.740160120714,0.105663778491,-0.656603384211,0.109342049891,27.424509159709,291.370722046721,1.5076036e-05,210.639370099761,0.912587724167,1.402504830458,343912.611380897,403.928009033203,0.002658433525,0.762997919511,0.224042697819,2.084298e-06,7.59832e-07,0.01295653116,7.377e-09,4e-12,,,885.34104496891,32093.580345035734,9.5994096e-05,1.0,1.541288137436,329.142559170723,286.35420111966
3.75,15,1,286.35420111966,78961.19319001403,0,7989.979543603121,-1.989937389778,0.001158899393,0.267636428199,2.455894e-06,9.483601850412,1.611820941549,6457028.2137405425,0.276770392987,29962.435972429957,-314.493888363278,0.161499433492,7983.787739869867,4.35e-10,2.771e-09,-1.49e-09,-914.932025174682,-26.056996840493,-152.621225498648,-0.000200472775,-0.018072925428,0.004011185924,-0.245257502082,927.940060232766,-0.026669634013,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,18.858784772907,7.50889342896,1.527427281842,18.750759535113,9.417708510869,-0.010041356526,5.000384927937,2.520353017393,-0.006203723619,5.599648850242,5.920077061075,2.983907102465,-0.00734473476,6.62956016266,0.74179009182,0.113013621472,-0.650616140421,0.116935960527,0.742618506911,0.113139832634,-0.65134273442,0.117066552072,27.413072335528,291.466036561248,1.5232462e-05,210.778164843356,0.922659948018,1.402504801987,345554.6666341355,409.144989013672,0.002631149335,0.762963688718,0.224076940692,1.957666e-06,7.5951e-07,0.012956647004,6.406e-09,4e-12,,,894.3664669662,32088.121014721637,9.6989626e-05,1.0,1.541288137436,330.620659212271,286.35420111966
4.0,16,1,286.35420111966,78892.20452986137,0,7989.252342358802,-1.989292858743,0.00124101761,0.285468232673,2.81419e-06,10.092098897426,1.831334115596,6456949.590268453,0.31714525136,31958.382907397423,-316.843534859088,0.172926300486,7982.967063341805,4.35e-10,2.771e-09,-1.49e-09,-921.898139317856,-29.898954480045,-163.848387213132,0.001368057793,-0.016841238208,-0.00465879368,-0.262336671706,936.82247527723,-0.041761026687,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,20.136578188858,8.120487826367,1.738045702662,20.000845184022,10.046842685766,-0.01138053478,5.000342595637,2.516536699585,-0.005356713015,5.597893508139,5.920026942835,2.979388871199,-0.006341938355,6.627481970545,0.744078226464,0.120454457768,-0.64521810037,0.124627121694,0.744964657427,0.120597956875,-0.645986757861,0.124775591755,27.401561744443,291.561934201766,1.5390412e-05,210.917833164624,0.932840819485,1.402504770615,347165.5971875681,414.257995605469,0.00260416181,0.762929982931,0.224110683584,1.838267e-06,7.59191e-07,0.012956730486,5.538e-09,4e-12,,,903.476278953798,32082.598801081804,9.7994842e-05,1.0,1.541288137436,332.0650926133,286.35420111966
4.25,17,1,286.35420111966,78823.24868708408,0,7988.517353857418,-1.98865178009,0.001323663841,0.303298613569,3.197845e-06,10.69469595635,2.063955411131,6456870.379384737,0.360376826482,33954.12467323287,-319.192692838224,0.18442431851,7982.137903075058,4.35e-10,2.771e-09,-1.49e-09,-928.791196554627,-34.023521242019,-175.164602832024,0.002023687029,-0.014221166741,-0.008003127868,-0.270033252181,945.77653251758,-0.050014481055,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,21.41853136714,8.726261754425,1.96219496201,21.25100305343,10.675087802642,-0.012965653278,5.000631477632,2.512980467506,-0.006340473993,5.596554851581,5.920368957237,2.975178561738,-0.007506636851,6.625897102554,0.74624986476,0.127876590076,-0.63973085444,0.132299474424,0.747194466222,0.128038455987,-0.64054062437,0.132466938812,27.389992981469,291.658247567351,1.5549894e-05,211.058136528963,0.943130108963,1.402504736768,348744.94590532116,419.276000976562,0.002577468396,0.762896698419,0.224144027652,1.725745e-06,7.58875e-07,0.012956784539,4.766e-09,4e-12,,,912.670889860984,32077.013336908178,9.9009801e-05,1.0,1.541288137436,333.487198452155,286.35420111966
4.5,18,1,286.35420111966,78754.32560321261,0,7987.774515692282,-1.9880141292,0.001406880998,0.321127553308,3.607017e-06,11.291189177853,2.309991012278,6456790.581211528,0.406482906109,35949.659149001636,-321.541346686262,0.195999407285,7981.300197179561,4.35e-10,2.771e-09,-1.49e-09,-935.597802714938,-38.44166429463,-186.56579289182,0.001494603824,-0.00283987666,-0.006844348333,-0.265038678416,954.791983869028,-0.04868326141,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,22.704916726346,9.326142876659,2.199423523324,22.501267754357,11.302582176483,-0.014973261225,5.001058803709,2.509977495364,-0.008030431787,5.595591181746,5.920874878948,2.971623270144,-0.009507418894,6.624756190445,0.748305600658,0.135282017866,-0.63415429602,0.139949392657,0.749308509983,0.135463328278,-0.635004215166,0.140136958473,27.378381985415,291.754805669214,1.5710916e-05,211.198830814366,0.953527513129,1.402504700877,350293.0834414869,424.205993652344,0.002551066551,0.762863734266,0.224177071236,1.619758e-06,7.58561e-07,0.012956812093,4.082e-09,4e-12,,,921.950702405623,32071.364362636665,0.000100034559,1.0,1.541288137436,334.888494700193,286.35420111966
4.75,19,1,286.35420111966,78685.4352211187,0,7987.02377440205,-1.987379860978,0.001490729221,0.338955034174,4.041879e-06,11.881447292922,2.56945774793,6456710.195874856,0.45548275793,37944.98419829653,-323.88947820689,0.207659883095,7980.453892833902,4.35e-10,2.771e-09,-1.49e-09,-942.352864842188,-43.167829634996,-198.030747040319,0.001559131512,-0.00204600177,-0.007023313386,-0.266693293915,963.902737002059,-0.051377498296,67.8338637559,2.5061e-08,2.3271e-08,67.833863798227,4.8693e-08,67.833863703115,23.995989801565,9.920041468344,2.449582634307,23.751611356216,11.929926631725,-0.017342186024,5.001374407436,2.509377820966,-0.009475699198,5.595606562348,5.921248529859,2.97091330107,-0.011218506053,6.62477439991,0.75024619358,0.142670733589,-0.628488156281,0.147574890176,0.751307530563,0.142872562972,-0.629377248061,0.147783657231,27.366744604278,291.851438301996,1.5873489e-05,211.339672591448,0.964032687639,1.402504663358,351986.1673848759,429.054992675781,0.002524953728,0.762830993792,0.224209908533,1.519976e-06,7.5825e-07,0.012956815968,3.479e-09,4e-12,,,931.316117727905,32065.651671524247,0.000101069174,1.0,1.541288137436,336.270666907231,286.35420111966
