Time,Iter,Assembly_ID,Obj_name,Density,Mass,MaxTemperature,Max_stress,Yield_stress,Parent_id
12.0,48,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,555.221985,0,0,1
12.25,49,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,559.270996,0,0,1
12.5,50,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,563.297974,0,0,1
12.75,51,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,567.304016,0,0,1
13.0,52,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,571.288025,0,0,1
13.25,53,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,575.250977,0,0,1
13.5,54,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,579.192017,0,0,1
13.75,55,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,583.140015,0,0,1
14.0,56,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,587.101013,0,0,1
14.25,57,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,591.041016,0,0,1
14.5,58,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,594.958008,0,0,1
14.75,59,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,598.85199,0,0,1
15.0,60,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,602.723999,0,0,1
15.25,61,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,606.572998,0,0,1
15.5,62,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,610.39801,0,0,1
15.75,63,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,614.200012,0,0,1
16.0,64,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,617.979004,0,0,1
16.25,65,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,621.732971,0,0,1
16.5,66,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,625.463989,0,0,1
16.75,67,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,629.169983,0,0,1
17.0,68,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,633.015991,0,0,1
17.25,69,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,636.968994,0,0,1
17.5,70,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,640.905029,0,0,1
17.75,71,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,644.823975,0,0,1
18.0,72,1,/home/navraj/TITAN/Examples/Geometry/Ablation_Tests/sphere.stl,150.0,286.354201,648.72699,0,0,1
