time_s,component,altitude_m,max_temperature_K,total_mass_kg,mass_loss_rate_kg_s,velocity_m_s,max_recession_rate_mm_s
0.25,sphere.stl,79930.51237821716,314.14898681640625,286.35420111966044,0.0,7999.381588296357,0.0
0.5,sphere.stl,79861.05837586599,324.6780090332031,286.35420111966044,0.0,7998.756318825109,0.0
0.75,sphere.stl,79791.63795057064,333.74700927734375,286.35420111966044,0.0,7998.124163394389,0.0
1.0,sphere.stl,79722.25105850809,341.9219970703125,286.35420111966044,0.0,7997.485079908299,0.0
1.25,sphere.stl,79652.8976538837,349.47100830078125,286.35420111966044,0.0,7996.839021306404,0.0
1.5,sphere.stl,79583.57768829304,356.54998779296875,286.35420111966044,0.0,7996.185916539277,0.0
1.75,sphere.stl,79514.29108907665,363.260009765625,286.35420111966044,0.0,7995.525669462941,0.0
2.0,sphere.stl,79445.03779996264,369.66900634765625,286.35420111966044,0.0,7994.85822037781,0.0
2.25,sphere.stl,79375.8177689667,375.8280029296875,286.35420111966044,0.0,7994.183506267962,0.0
2.5,sphere.stl,79306.63094572008,381.77398681640625,286.35420111966044,0.0,7993.501473132882,0.0
2.75,sphere.stl,79237.47728067674,387.5360107421875,286.35420111966044,0.0,7992.812066175932,0.0
3.0,sphere.stl,79168.35672342757,393.1369934082031,286.35420111966044,0.0,7992.115228740854,0.0
3.25,sphere.stl,79099.2692242983,398.59600830078125,286.35420111966044,0.0,7991.410904800828,0.0
3.5,sphere.stl,79030.21473101142,403.9280090332031,286.35420111966044,0.0,7990.69903564123,0.0
3.75,sphere.stl,78961.19319001403,409.1449890136719,286.35420111966044,0.0,7989.979543603121,0.0
4.0,sphere.stl,78892.20452986135,414.25799560546875,286.35420111966044,0.0,7989.252342358802,0.0
4.25,sphere.stl,78823.24868708408,419.2760009765625,286.35420111966044,0.0,7988.517353857418,0.0
4.5,sphere.stl,78754.32560321261,424.20599365234375,286.35420111966044,0.0,7987.774515692282,0.0
4.75,sphere.stl,78685.4352211187,429.05499267578125,286.35420111966044,0.0,7987.02377440205,0.0
5.0,sphere.stl,78616.57748565635,433.8290100097656,286.35420111966044,0.0,7986.265046925028,0.0
5.25,sphere.stl,78547.75233968311,438.5989990234375,286.35420111966044,0.0,7985.498284727399,0.0
5.5,sphere.stl,78478.95972729611,443.3420104980469,286.35420111966044,0.0,7984.723419466437,0.0
5.75,sphere.stl,78410.1995902299,448.031005859375,286.35420111966044,0.0,7983.940392261063,0.0
6.0,sphere.stl,78341.47186054899,452.6679992675781,286.35420111966044,0.0,7983.149105845165,0.0
6.25,sphere.stl,78272.7764692003,457.2560119628906,286.35420111966044,0.0,7982.349489332862,0.0
6.5,sphere.stl,78204.11334997337,461.7980041503906,286.35420111966044,0.0,7981.541474801278,0.0
6.75,sphere.stl,78135.48244041778,466.2950134277344,286.35420111966044,0.0,7980.7249888001115,0.0
7.0,sphere.stl,78066.8836760701,470.75,286.35420111966044,0.0,7979.899963868837,0.0
7.25,sphere.stl,77998.31699589209,475.1650085449219,286.35420111966044,0.0,7979.066329546892,0.0
7.5,sphere.stl,77929.78233513056,479.5400085449219,286.35420111966044,0.0,7978.224022384259,0.0
7.75,sphere.stl,77861.27962990798,483.87799072265625,286.35420111966044,0.0,7977.37297270787,0.0
8.0,sphere.stl,77792.80880865158,488.2090148925781,286.35420111966044,0.0,7976.513092513771,0.0
8.25,sphere.stl,77724.3698014687,492.5409851074219,286.35420111966044,0.0,7975.644310456422,0.0
8.5,sphere.stl,77655.96253943714,496.8420104980469,286.35420111966044,0.0,7974.766550280515,0.0
8.75,sphere.stl,77587.5869502647,501.1130065917969,286.35420111966044,0.0,7973.8797360633225,0.0
9.0,sphere.stl,77519.24296426728,505.35400390625,286.35420111966044,0.0,7972.983795159825,0.0
9.25,sphere.stl,77450.93051497154,509.5870056152344,286.35420111966044,0.0,7972.07864286187,0.0
9.5,sphere.stl,77382.64953015227,513.8189697265625,286.35420111966044,0.0,7971.164210751474,0.0
9.75,sphere.stl,77314.39993987902,518.0230102539062,286.35420111966044,0.0,7970.240409108747,0.0
10.0,sphere.stl,77246.18166697759,522.2000122070312,286.35420111966044,0.0,7969.307158392379,0.0
10.25,sphere.stl,77177.99463570029,526.385009765625,286.35420111966044,0.0,7968.364372015207,0.0
10.5,sphere.stl,77109.83877172743,530.5770263671875,286.35420111966044,0.0,7967.411964142188,0.0
10.75,sphere.stl,77041.71400062638,534.7449951171875,286.35420111966044,0.0,7966.449853873045,0.0
11.0,sphere.stl,76973.6202466817,538.8880004882812,286.35420111966044,0.0,7965.47795730068,0.0
11.25,sphere.stl,76905.557434208,543.0070190429688,286.35420111966044,0.0,7964.496192499521,0.0
11.5,sphere.stl,76837.52548880529,547.1019897460938,286.35420111966044,0.0,7963.5044672050535,0.0
11.75,sphere.stl,76769.52433233323,551.1729736328125,286.35420111966044,0.0,7962.502699463751,0.0
12.0,sphere.stl,76701.5538846958,555.2219848632812,286.35420111966044,0.0,7961.490796547668,0.0
12.25,sphere.stl,76633.61406311212,559.27099609375,286.35420111966044,0.0,7960.4686612137775,0.0
12.5,sphere.stl,76565.7047870721,563.2979736328125,286.35420111966044,0.0,7959.436208546361,0.0
12.75,sphere.stl,76497.82597751416,567.3040161132812,286.35420111966044,0.0,7958.393347922987,0.0
13.0,sphere.stl,76429.97755533169,571.2880249023438,286.35420111966044,0.0,7957.340001848882,0.0
13.25,sphere.stl,76362.15944031987,575.2509765625,286.35420111966044,0.0,7956.276061321375,0.0
13.5,sphere.stl,76294.37154371284,579.1920166015625,286.35420111966044,0.0,7955.201431267888,0.0
13.75,sphere.stl,76226.61378195927,583.1400146484375,286.35420111966044,0.0,7954.116028481565,0.0
14.0,sphere.stl,76158.88607069332,587.1010131835938,286.35420111966044,0.0,7953.019762005737,0.0
14.25,sphere.stl,76091.18832935036,591.041015625,286.35420111966044,0.0,7951.912540212964,0.0
14.5,sphere.stl,76023.52046770131,594.9580078125,286.35420111966044,0.0,7950.794262423942,0.0
14.75,sphere.stl,75955.88239676664,598.8519897460938,286.35420111966044,0.0,7949.664831289525,0.0
15.0,sphere.stl,75888.27403022289,602.7239990234375,286.35420111966044,0.0,7948.52416276942,0.0
15.25,sphere.stl,75820.69528491075,606.572998046875,286.35420111966044,0.0,7947.372156099503,0.0
15.5,sphere.stl,75753.1460628169,610.3980102539062,286.35420111966044,0.0,7946.208704319961,0.0
15.75,sphere.stl,75685.62627394692,614.2000122070312,286.35420111966044,0.0,7945.03371308593,0.0
16.0,sphere.stl,75618.13583257757,617.97900390625,286.35420111966044,0.0,7943.84710370311,0.0
16.25,sphere.stl,75550.67464545419,621.7329711914062,286.35420111966044,0.0,7942.648747651871,0.0
16.5,sphere.stl,75483.2426117351,625.4639892578125,286.35420111966044,0.0,7941.438543826278,0.0
16.75,sphere.stl,75415.83964111278,629.1699829101562,286.35420111966044,0.0,7940.216401136273,0.0
17.0,sphere.stl,75348.46564413574,633.0159912109375,286.35420111966044,0.0,7938.982218080334,0.0
17.25,sphere.stl,75281.1205234968,636.968994140625,286.35420111966044,0.0,7937.735872737485,0.0
17.5,sphere.stl,75213.80417557477,640.905029296875,286.35420111966044,0.0,7936.477255647629,0.0
17.75,sphere.stl,75146.51650364319,644.823974609375,286.35420111966044,0.0,7935.2062683603,0.0
18.0,sphere.stl,75079.25741340777,648.7269897460938,286.35420111966044,0.0,7933.922812672223,0.0
18.25,sphere.stl,75012.026803562,652.6110229492188,286.35420111966044,0.0,7932.626752821638,0.0
18.5,sphere.stl,74944.82457004594,656.47802734375,286.35420111966044,0.0,7931.317995676205,0.0
18.75,sphere.stl,74877.65061663328,660.3270263671875,286.35420111966044,0.0,7929.9964208837955,0.0
19.0,sphere.stl,74810.50484339269,664.1580200195312,286.35420111966044,0.0,7928.6619159558,0.0
19.25,sphere.stl,74743.38713646716,668.0230102539062,286.35420111966044,0.0,7927.314358355103,0.0
19.5,sphere.stl,74676.29739296691,671.8900146484375,286.35420111966044,0.0,7925.953632370486,0.0
19.75,sphere.stl,74609.23551088692,675.739013671875,286.35420111966044,0.0,7924.579635326611,0.0
20.0,sphere.stl,74542.20138740557,679.5689697265625,286.35420111966044,0.0,7923.192246959141,0.0
20.25,sphere.stl,74475.19491583931,683.3800048828125,286.35420111966044,0.0,7921.791351000121,0.0
20.5,sphere.stl,74408.21599266704,687.3049926757812,286.35420111966044,0.0,7920.37685000973,0.0
20.75,sphere.stl,74341.26450230912,691.2169799804688,286.35420111966044,0.0,7918.948577080066,0.0
21.0,sphere.stl,74274.3403222557,695.1129760742188,286.35420111966044,0.0,7917.506427963048,0.0
21.25,sphere.stl,74207.44334527949,698.9929809570312,286.35420111966044,0.0,7916.050285399928,0.0
21.5,sphere.stl,74140.57346261293,702.8569946289062,286.35420111966044,0.0,7914.580035464113,0.0
21.75,sphere.stl,74073.73056665265,706.7039794921875,286.35420111966044,0.0,7913.095559477206,0.0
22.0,sphere.stl,74006.91454546755,710.5430297851562,286.35420111966044,0.0,7911.596739917749,0.0
22.25,sphere.stl,73940.12528056314,714.4240112304688,286.35420111966044,0.0,7910.0834428353355,0.0
22.5,sphere.stl,73873.36265322643,718.2880249023438,286.35420111966044,0.0,7908.555545721634,0.0
22.75,sphere.stl,73806.62654310359,722.1339721679688,286.35420111966044,0.0,7907.012933063566,0.0
23.0,sphere.stl,73739.91682797653,725.9619750976562,286.35420111966044,0.0,7905.455453944261,0.0
23.25,sphere.stl,73673.23338939366,729.77197265625,286.35420111966044,0.0,7903.882998212475,0.0
23.5,sphere.stl,73606.5761033287,733.5969848632812,286.35420111966044,0.0,7902.295430065706,0.0
23.75,sphere.stl,73539.94484960612,737.5479736328125,286.35420111966044,0.0,7900.692632368546,0.0
24.0,sphere.stl,73473.33950642671,741.4840087890625,286.35420111966044,0.0,7899.074458314839,0.0
24.25,sphere.stl,73406.75994998627,745.4039916992188,286.35420111966044,0.0,7897.440783993217,0.0
24.5,sphere.stl,73340.20605912193,749.3079833984375,286.35420111966044,0.0,7895.79147846507,0.0
24.75,sphere.stl,73273.67770066012,753.197021484375,286.35420111966044,0.0,7894.126408271031,0.0
25.0,sphere.stl,73207.17474097593,757.0700073242188,286.35420111966044,0.0,7892.445419215773,0.0
25.25,sphere.stl,73140.69705269703,760.926025390625,286.35420111966044,0.0,7890.748380781179,0.0
25.5,sphere.stl,73074.24449855747,764.7659912109375,286.35420111966044,0.0,7889.035145267764,0.0
25.75,sphere.stl,73007.81694651206,768.5889892578125,286.35420111966044,0.0,7887.305568290671,0.0
26.0,sphere.stl,72941.4142593942,772.39599609375,286.35420111966044,0.0,7885.5595070554145,0.0
26.25,sphere.stl,72875.03630188447,776.2160034179688,286.35420111966044,0.0,7883.796819832189,0.0
26.5,sphere.stl,72808.6829379665,780.156982421875,286.35420111966044,0.0,7882.017365282686,0.0
26.75,sphere.stl,72742.35403178296,784.1489868164062,286.35420111966044,0.0,7880.2210041633,0.0
27.0,sphere.stl,72676.04944179449,788.1300048828125,286.35420111966044,0.0,7878.4075819541595,0.0
27.25,sphere.stl,72609.76902398866,792.094970703125,286.35420111966044,0.0,7876.576949092543,0.0
27.5,sphere.stl,72543.51263426189,796.0419921875,286.35420111966044,0.0,7874.728956663447,0.0
27.75,sphere.stl,72477.28012903586,799.9730224609375,286.35420111966044,0.0,7872.8634665452255,0.0
28.0,sphere.stl,72411.07135767168,803.885986328125,286.35420111966044,0.0,7870.980329596334,0.0
28.25,sphere.stl,72344.88617367232,807.8809814453125,286.35420111966044,0.0,7869.079399250076,0.0
28.5,sphere.stl,72278.72442252115,811.9530029296875,286.35420111966044,0.0,7867.160524868678,0.0
28.75,sphere.stl,72212.58595450217,816.010986328125,286.35420111966044,0.0,7865.223559192362,0.0
29.0,sphere.stl,72146.47061412825,820.0549926757812,286.35420111966044,0.0,7863.268354672568,0.0
29.25,sphere.stl,72080.37824386539,824.0850219726562,286.35420111966044,0.0,7861.294766356273,0.0
29.5,sphere.stl,72014.30869335514,828.0999755859375,286.35420111966044,0.0,7859.302647278925,0.0
29.75,sphere.stl,71948.26179420274,832.1010131835938,286.35420111966044,0.0,7857.291838818365,0.0
30.0,sphere.stl,71882.23739430495,836.0869750976562,286.35420111966044,0.0,7855.262208364568,0.0
30.25,sphere.stl,71816.23532151303,840.0579833984375,286.35420111966044,0.0,7853.213591039509,0.0
30.5,sphere.stl,71750.25541610438,844.0139770507812,286.35420111966044,0.0,7851.145852043031,0.0
30.75,sphere.stl,71684.297500765,847.9539794921875,286.35420111966044,0.0,7849.058818718908,0.0
31.0,sphere.stl,71618.36140705716,852.0599975585938,286.35420111966044,0.0,7846.9523415007525,0.0
31.25,sphere.stl,71552.44696198765,856.1799926757812,286.35420111966044,0.0,7844.826280149054,0.0
31.5,sphere.stl,71486.5539947216,860.3170166015625,286.35420111966044,0.0,7842.680479910964,0.0
31.75,sphere.stl,71420.68233081784,864.4450073242188,286.35420111966044,0.0,7840.51479506299,0.0
32.0,sphere.stl,71354.83180116302,868.56298828125,286.35420111966044,0.0,7838.329078859879,0.0
32.25,sphere.stl,71289.00222524913,872.6719970703125,286.35420111966044,0.0,7836.123172764999,0.0
32.5,sphere.stl,71223.19342653191,876.7869873046875,286.35420111966044,0.0,7833.896935252767,0.0
32.75,sphere.stl,71157.40522451812,881.0800170898438,286.35420111966044,0.0,7831.650207408913,0.0
33.0,sphere.stl,71091.63742887019,885.3619995117188,286.35420111966044,0.0,7829.382822950805,0.0
33.25,sphere.stl,71025.88985768516,889.6339721679688,286.35420111966044,0.0,7827.09464716592,0.0
33.5,sphere.stl,70960.16231892089,893.89599609375,286.35420111966044,0.0,7824.785507852214,0.0
33.75,sphere.stl,70894.45463003957,898.14697265625,286.35420111966044,0.0,7822.4552790960215,0.0
34.0,sphere.stl,70828.76659894221,902.3870239257812,286.35420111966044,0.0,7820.103773726186,0.0
34.25,sphere.stl,70763.09803584847,906.614990234375,286.35329244856183,0.0036346843945031077,7817.730854586039,10.042563692659762
34.5,sphere.stl,70697.44874733541,910.114990234375,286.3376974921952,0.062379825466297584,7815.336314181032,10.488470594621205
34.75,sphere.stl,70631.81854030062,910.3350219726562,286.31472625709364,0.09188494040651085,7812.919187482741,10.513396122357122
35.0,sphere.stl,70566.20709209016,910.614990234375,286.2777912575649,0.14773999811491356,7810.479025540992,10.73392088492234
35.25,sphere.stl,70500.6140502505,910.5479736328125,286.23246852174736,0.1812909432700176,7808.0148731082845,10.700649855287473
35.5,sphere.stl,70435.03895706954,911.1799926757812,286.17644608323076,0.22408975406653076,7805.526390184823,10.857952129895915
35.75,sphere.stl,70369.4812956425,911.2249755859375,286.1105371265258,0.26363582681976844,7803.01281084042,10.938541074126347
36.0,sphere.stl,70303.9404854946,912.0130004882812,286.03104321969727,0.31797562731403933,7800.473467201156,11.066301938858196
36.25,sphere.stl,70238.41590434236,913.1820068359375,285.94380680211214,0.3489456703407263,7797.907411567732,11.04807436530247
36.5,sphere.stl,70172.90681185335,913.7839965820312,285.84559031236995,0.3928659589684785,7795.3141412772675,11.197450863750985
36.75,sphere.stl,70107.41245279182,914.6589965820312,285.73668833295903,0.43560791764364937,7792.692556259366,11.299754871772395
37.0,sphere.stl,70041.93205396962,916.14697265625,285.61589541735225,0.48317166242708054,7790.041578422196,11.300278098740973
37.25,sphere.stl,69976.46481428169,917.2559814453125,285.48248932635295,0.5336243639975276,7787.359936012395,11.347890029479853
37.5,sphere.stl,69911.00991518685,918.4249877929688,285.340582087778,0.5676289542996218,7784.645877721421,11.456186058490857
37.75,sphere.stl,69845.56653419524,919.8460083007812,285.1863360404731,0.6169841892195118,7781.897652617425,11.53028741864681
38.0,sphere.stl,69780.13394022579,921.0479736328125,285.02280221102944,0.6541353177749274,7779.113282107259,11.570448879889113
38.25,sphere.stl,69714.71160859898,922.7379760742188,284.8430387196669,0.7190539654501743,7776.290730036446,11.602173892860794
38.5,sphere.stl,69649.29921293193,924.2349853515625,284.6529972609915,0.7601658347014819,7773.427294402282,11.595916083378105
38.75,sphere.stl,69583.89679879321,926.0800170898438,284.447398607022,0.8223946158779936,7770.521260591764,11.64768798651382
39.0,sphere.stl,69518.50482347405,928.1309814453125,284.23131617622244,0.8643297231981453,7767.571290986645,11.698956463712525
39.25,sphere.stl,69453.12431671155,930.2440185546875,284.00130499620514,0.9200447200690965,7764.577655349449,11.749087713265503
39.5,sphere.stl,69387.75701170317,932.343994140625,283.7624473931003,0.9554304124197264,7761.5418110372275,11.794816836273894
39.75,sphere.stl,69322.4053226076,934.4580078125,283.5095942340207,1.0114126363182943,7758.466856897823,11.844670899946143
40.0,sphere.stl,69257.07213886011,936.531005859375,283.25156899308286,1.0321009637517353,7755.356311361891,11.899815062812243
40.25,sphere.stl,69191.76067028582,938.5050048828125,282.98446928607535,1.0683988280299035,7752.213702543679,11.954201644400273
40.5,sphere.stl,69126.47406392999,940.3300170898438,282.71137446547544,1.0923792823996537,7749.040237686528,12.020112463117359
40.75,sphere.stl,69061.21524503792,942.0869750976562,282.4311446750157,1.1209191618390084,7745.833917880968,12.08397756493621
41.0,sphere.stl,68995.98669484352,943.843994140625,282.1402062762032,1.1637535952500153,7742.589155322346,12.140404615419115
41.25,sphere.stl,68930.7904282406,945.677978515625,281.8370945133611,1.2124470513682806,7739.296871650094,12.195253445928843
41.5,sphere.stl,68865.6277381791,947.6640014648438,281.52200484863306,1.2603586589121658,7735.946100059439,12.251770648386568
41.75,sphere.stl,68800.49898909948,949.7940063476562,281.1955812633154,1.3056943412707729,7732.526911683632,12.309476646741254
42.0,sphere.stl,68735.40285161666,952.0180053710938,280.856304098365,1.3571086598017217,7729.035982449805,12.353364277055235
