Time,Iter,Assembly_ID,Obj_name,Density,Mass,Max_stress,Yield_stress,Parent_id
21.3,71,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
21.6,72,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
21.9,73,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
22.2,74,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
22.5,75,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
22.8,76,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
23.1,77,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
23.4,78,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
23.7,79,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
24.0,80,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
24.3,81,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
24.6,82,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
24.9,83,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
25.2,84,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
25.5,85,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
25.8,86,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
26.1,87,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
26.4,88,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
26.7,89,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
27.0,90,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
27.3,91,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
27.6,92,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
27.9,93,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
28.2,94,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
28.5,95,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
28.8,96,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
29.1,97,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
29.4,98,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
29.7,99,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
30.0,100,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
30.3,101,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
30.6,102,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
30.9,103,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
31.2,104,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
31.5,105,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
31.8,106,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
32.1,107,1,Examples/Geometry/Sphere/sphere.stl,150.0,626.115105,0,0,1
