Time,Iter,Assembly_ID,Mass,Altitude,Distance,Velocity,FlightPathAngle,HeadingAngle,Latitude,Longitude,AngleAttack,AngleSideslip,ECEF_X,ECEF_Y,ECEF_Z,ECEF_vU,ECEF_vV,ECEF_vW,BODY_COM_X,BODY_COM_Y,BODY_COM_Z,Aero_Fx_B,Aero_Fy_B,Aero_Fz_B,Aero_Mx_B,Aero_My_B,Aero_Mz_B,Lift,Drag,Crosswind,Inertia_xx,Inertia_xy,Inertia_xz,Inertia_yy,Inertia_yz,Inertia_zz,Roll,Pitch,Yaw,distRoll,distPitch,distYaw,VelRoll,VelPitch,VelYaw,magnitudeOmega,angularMomentum_x,angularMomentum_y,angularMomentum_z,magnitudeAngularMomentum,Quat_w,Quat_x,Quat_y,Quat_z,Quat_prev_w,Quat_prev_x,Quat_prev_y,Quat_prev_z,Mach,Speedsound,Density,Temperature,Pressure,SpecificHeatRatio,qmax,Tmax,knudsen,N2_mass_pct,O2_mass_pct,O_mass_pct,He_mass_pct,Ar_mass_pct,N_mass_pct,H_mass_pct,Pstag,Tstag,Rhostag,Aref,Lref,Temperature_obj_0,Mass_obj_0
0,0,1,626.115104854686,199999.99999938157,0,7000.0,-16.084564623859,45.000000000011,20.000000000022,-31.999999999971,-0.0,-0.0,5244138.5378358215,-3276901.4494565073,2236100.816493732,-396.295794401582,5858.167059338219,3811.145280388066,2.335531e-06,2.174074e-06,-2.5589e-08,-0.043854214253,5.5464e-08,-8.2402e-08,-2.48e-10,-3.55802e-07,-3.18195e-07,8.2402e-08,0.043854214253,5.5464e-08,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,-4e-12,-15.999999999965,45.000000000011,-4e-12,-15.999999999965,45.000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475122874073,-0.495934886931,-0.714149448627,0.135267910027,0.475122874073,-0.495934886931,-0.714149448627,0.135267910027,9.557603493037,732.401172019736,2.73e-10,899.7,9.4940596e-05,1.544943761422,48.185755031549,300.0,102.836169948463,0.562575107161,0.035327106287,0.400587621616,0.000485887466,0.000964301114,1.5905888e-05,4.4070469e-05,0.012071006527,23292.965473935987,1.343e-09,1.0,1.999442919942,300,626.115104854686
0.3,1,1,626.115104854686,199421.47208897225,0,7000.757826733126,-16.087002747024,45.0058661867,20.012500287777,-31.986772207284,0.020023386311,0.001302694388,5244019.649097501,-3275143.999338706,2237244.1600778485,-398.234932459119,5859.556250063005,3810.199422534468,2.335531e-06,2.174074e-06,-2.5589e-08,-0.044649347867,-9.60567e-07,-1.5706916e-05,-1.21e-10,1.63754e-07,-3.53883e-07,-6.5829572e-05,0.044649302111,5.4593e-08,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,5.2742949e-05,-15.982371933626,45.004510997391,-9e-12,-16.000000007309,44.999999993444,-1.7e-11,-2.4477e-08,-2.1889e-08,3.2837e-08,-7.4e-11,-1.06741e-07,-9.5458e-08,1.43199e-07,0.475122874073,-0.495934886931,-0.714149448627,0.135267910027,0.475122874073,-0.495934886931,-0.714149448627,0.135267910027,9.571866568677,731.388990486186,2.78e-10,898.722060978055,9.641446e-05,1.544356261819,49.063887916206,300.0,101.061726086328,0.564445969869,0.035578519232,0.398461047446,0.000479167331,0.0009760628,1.5701544e-05,4.3531779e-05,0.01229136468,23310.272474921054,1.368e-09,1.0,1.999442919942,300,626.115104854686
0.6,2,1,626.115104854686,198842.7971990496,0,7001.515898704561,-16.089438846564,45.011737248414,20.025001587013,-31.973539577276,0.040047994749,0.002605758947,5243900.178617764,-3273386.132463687,2238387.219904609,-400.174542548715,5860.945153425502,3809.252830129126,2.335531e-06,2.174074e-06,-2.5589e-08,-0.04540796489,-2.011309e-06,-3.1863649e-05,1e-12,6.99811e-07,-3.89975e-07,-6.6961986e-05,0.045407926741,5.3802e-08,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.000105055352,-15.964740647794,45.009026490266,-1.7e-11,-16.000000011272,44.999999979574,-2.5e-11,-1.3211e-08,-4.6234e-08,4.8084e-08,-1.11e-10,-5.7615e-08,-2.01623e-07,2.09694e-07,0.475122874035,-0.495934886881,-0.714149448686,0.135267910031,0.475122874035,-0.495934886881,-0.714149448686,0.135267910031,9.586197209223,730.374698735417,2.83e-10,897.73276083013,9.7918297e-05,1.543770012791,67.413035636051,300.0,99.309551492263,0.566304992529,0.035831606296,0.396344647374,0.000472358049,0.000987903002,1.5502152e-05,4.2990599e-05,0.012516779122,23327.51466140738,1.394e-09,1.0,1.999442919942,300,626.115104854686
0.9,3,1,626.115104854686,198263.97536272192,0,7002.274215948927,-16.091872921847,45.017613188434,20.037503897242,-31.960302105719,0.060073837122,0.003909194024,5243780.126255,-3271627.848917659,2239529.9957536478,-402.114624767465,5862.333769116718,3808.305502892994,2.335531e-06,2.174074e-06,-2.5589e-08,-0.046231065558,-3.034397e-06,-4.8591865e-05,-1.773e-09,6.42257e-07,1.06675e-06,-6.821824e-05,0.046231040863,1.1987e-07,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.000156937209,-15.9471061301,45.013546481112,-2.4e-11,-16.000000000792,44.999999957656,-2.5e-11,3.4932e-08,-7.3061e-08,8.0982e-08,-1.1e-10,1.52329e-07,-3.18616e-07,3.53157e-07,0.475122874027,-0.49593488679,-0.714149448762,0.135267909991,0.475122874027,-0.49593488679,-0.714149448762,0.135267909991,9.600461758595,729.368481644126,2.89e-10,896.752383364652,9.9455689e-05,1.543186814284,68.497930128551,300.0,97.579203252256,0.568146513416,0.036085759843,0.394244660894,0.000465537181,0.00099976719,1.5310419e-05,4.2451058e-05,0.012747408157,23344.66727080821,1.42e-09,1.0,1.999442919942,300,626.115104854686
1.2,4,1,626.115104854686,197685.00661312582,0,7003.032778452454,-16.094304972239,45.023494010045,20.050007217975,-31.947059788385,0.08010092558,0.005212999974,5243659.491867569,-3269869.1487869243,2240672.4874045155,-404.055179209643,5863.722096786849,3807.357440520525,2.335531e-06,2.174074e-06,-2.5589e-08,-0.047077507354,-4.099866e-06,-6.5874921e-05,-4.355e-09,-6.34089e-07,2.453595e-06,-6.9564434e-05,0.047077502225,1.83437e-07,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.000208388528,-15.929468367832,45.018070972396,-6.8e-11,-15.999999977058,44.999999957753,-1.47e-10,7.9115e-08,3.22e-10,7.9115e-08,-6.42e-10,3.45006e-07,1.409e-09,3.45009e-07,0.475122874118,-0.495934886666,-0.714149448814,0.135267909855,0.475122874118,-0.495934886666,-0.714149448814,0.135267909855,9.614928536925,728.349956170564,2.94e-10,895.74965140142,0.000101018259,1.542599318193,69.603909110147,300.0,95.875004098493,0.569987932432,0.036350789614,0.392133559899,0.000458864352,0.001011821611,1.5121137e-05,4.1910954e-05,0.012982879173,23361.866700733943,1.448e-09,1.0,1.999442919942,300,626.115104854686
1.5,5,1,626.115104854686,197105.89098343486,0,7003.791586221065,-16.096734997108,45.029379716535,20.062511548724,-31.93381262104,0.100129260025,0.006517146343,5243538.275313807,-3268110.032157888,2241814.694636672,-405.996205970616,5865.110136102253,3806.408642716788,2.335531e-06,2.174074e-06,-2.5589e-08,-0.047941391225,-5.269093e-06,-8.3863713e-05,-5.283e-09,-9.0262e-08,2.465638e-06,-7.0855229e-05,0.047941412505,1.84038e-07,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.000259400491,-15.911827360528,45.022599998628,-2.02e-10,-15.999999966411,45.000000008486,-4.47e-10,3.5492e-08,1.69111e-07,1.72795e-07,-1.949e-09,1.54779e-07,7.37487e-07,7.53557e-07,0.475122874265,-0.495934886695,-0.714149448715,0.135267909752,0.475122874265,-0.495934886695,-0.714149448715,0.135267909752,9.62970185473,727.311363516466,2.99e-10,894.698647316618,0.000102603026,1.542010072813,70.730615024145,300.0,94.197384505369,0.571824539765,0.036621917507,0.390020792706,0.000452351662,0.001024098981,1.4931564e-05,4.1367814e-05,0.013223163475,23379.022135035226,1.475e-09,1.0,1.999442919942,300,626.115104854686
1.8,6,1,626.115104854686,196526.6285068526,0,7004.550639263503,-16.099162995819,45.035270311194,20.075016888996,-31.920560599445,0.120158815202,0.007821604119,5243416.476452015,-3266350.4991170573,2242956.617229487,-407.93770514582,5866.497886731298,3805.459109188311,2.335531e-06,2.174074e-06,-2.5589e-08,-0.048823535953,-6.48044e-06,-0.000102496483,-6.246e-09,4.72346e-07,2.477485e-06,-7.2173678e-05,0.048823590624,1.84606e-07,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.000309964716,-15.89418313288,45.027133592809,-4.46e-10,-15.999999957626,45.000000110104,-8.11e-10,2.9281e-08,3.38727e-07,3.39991e-07,-3.533e-09,1.277e-07,1.477179e-06,1.482692e-06,0.475122874271,-0.495934887024,-0.714149448451,0.135267909915,0.475122874271,-0.495934887024,-0.714149448451,0.135267909915,9.644684875986,726.260186758814,3.05e-10,893.593800459805,0.000104213336,1.541428314296,71.879128259336,300.0,92.543897911906,0.573637068954,0.036884460568,0.387940499475,0.000445896493,0.001036511943,1.474223e-05,4.0820337e-05,0.01346855144,23395.90879835898,1.503e-09,1.0,1.999442919942,300,626.115104854686
2.1,7,1,626.115104854686,195947.21921662026,0,7005.309937588097,-16.101588967739,45.041165797318,20.0875232383,-31.907303719361,0.140189603425,0.009126372662,5243294.095140472,-3264590.5497510377,2244098.254962243,-409.879676830626,5867.885348341725,3804.508839641234,2.335531e-06,2.174074e-06,-2.5589e-08,-0.049723922265,-7.735152e-06,-0.000121792425,-7.246e-09,1.054313e-06,2.489202e-06,-7.3519776e-05,0.049724017672,1.85154e-07,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.000360080961,-15.876535672013,45.031671758434,-8.18e-10,-15.999999939094,45.000000262851,-1.242e-09,6.1774e-08,5.09158e-07,5.12893e-07,-5.407e-09,2.69404e-07,2.220424e-06,2.236715e-06,0.475122874205,-0.495934887669,-0.714149447976,0.135267910297,0.475122874205,-0.495934887669,-0.714149447976,0.135267910297,9.659613255597,725.216398651293,3.1e-10,892.503977909293,0.000105855026,1.540846277039,73.049919214333,300.0,90.915590078575,0.575447200212,0.037145022613,0.385864400841,0.000439493609,0.001049053237,1.4557032e-05,4.0272456e-05,0.013719061157,23412.768475630633,1.532e-09,1.0,1.999442919942,300,626.115104854686
2.4,8,1,626.115104854686,195367.663146005,0,7006.069481203189,-16.104012912234,45.047066178204,20.100030596141,-31.894041976542,0.160221637394,0.010431451339,5243171.131237423,-3262830.184146535,2245239.6076141354,-411.822121120351,5869.272520600957,3803.55783378157,2.335531e-06,2.174074e-06,-2.5589e-08,-0.050643555943,-9.034663e-06,-0.000141773587,-8.284e-09,1.656282e-06,2.50086e-06,-7.4895025e-05,0.050643699811,1.85693e-07,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.000409748986,-15.858884964665,45.036214499001,-1.34e-09,-15.999999898803,45.00000046697,-1.74e-09,1.34303e-07,6.80395e-07,6.93525e-07,-7.581e-09,5.85698e-07,2.967185e-06,3.024448e-06,0.475122874139,-0.495934888644,-0.714149447238,0.135267910848,0.475122874139,-0.495934888644,-0.714149447238,0.135267910848,9.674364529361,724.189114431259,3.16e-10,891.474816725706,0.000107533432,1.540254847294,74.244725353627,300.0,89.311664449818,0.577278072488,0.037413432569,0.383759487995,0.000433158506,0.001061742928,1.4378912e-05,3.9726603e-05,0.013974999384,23429.852430236384,1.562e-09,1.0,1.999442919942,300,626.115104854686
2.7,9,1,626.115104854686,194787.96032831233,0,7006.829270116617,-16.10643482867,45.052971457155,20.112538962023,-31.88077536674,0.18025493021,0.011736839515,5243047.584601087,-3261069.402390355,2246380.6749642696,-413.765038110224,5870.659403175689,3802.606091314937,2.335531e-06,2.174074e-06,-2.5589e-08,-0.051589436086,-1.0412966e-05,-0.000162429977,-6.793e-09,1.065799e-06,1.789569e-06,-7.6362124e-05,0.051589636328,1.54995e-07,249.858084166139,-0.001601997719,0.000973819561,249.857700776263,0.002098036549,249.865168869439,0.000458968549,-15.841230997173,45.040761818004,-2.033e-09,-15.99999982433,45.0000007227,-2.31e-09,2.48244e-07,8.52433e-07,8.87847e-07,-1.0066e-08,1.082582e-06,3.717443e-06,3.871882e-06,0.475122874147,-0.495934889966,-0.714149446188,0.135267911517,0.475122874147,-0.495934889966,-0.714149446188,0.135267911517,9.689488291954,723.137183202412,3.22e-10,890.386901734946,0.000109247457,1.539661253714,75.469836930826,300.0,87.722662042341,0.579109222768,0.03768382965,0.381652139987,0.00042685051,0.001074577368,1.4204486e-05,3.9175232e-05,0.014237894595,23446.88568686152,1.592e-09,1.0,1.999442919942,300,626.115104854686
